example_id                                                   | status | run_time        |
------------------------------------------------------------ | ------ | --------------- |
./spec/features/blogging/managing_posts_spec.rb[1:1:1]       | failed | 0.00692 seconds |
./spec/features/blogging/managing_posts_spec.rb[1:1:2]       | failed | 0.00575 seconds |
./spec/features/blogging/managing_posts_spec.rb[1:1:3]       | failed | 0.00712 seconds |
./spec/features/blogging/managing_posts_spec.rb[1:1:4]       | failed | 0.00929 seconds |
./spec/features/blogging/managing_posts_spec.rb[1:1:5]       | failed | 0.006 seconds   |
./spec/features/blogging/managing_posts_spec.rb[1:1:6]       | failed | 0.00631 seconds |
./spec/features/blogging/managing_posts_spec.rb[1:2:1]       | failed | 0.30903 seconds |
./spec/features/reading/reading_posts_spec.rb[1:1]           | failed | 0.01085 seconds |
./spec/features/reading/reading_posts_spec.rb[1:2]           | failed | 0.0387 seconds  |
./spec/features/signing_up_in_out/sign_in_out_spec.rb[1:1:1] | failed | 0.02843 seconds |
./spec/features/signing_up_in_out/sign_in_out_spec.rb[1:1:2] | failed | 0.02321 seconds |
./spec/features/signing_up_in_out/sign_in_out_spec.rb[1:1:3] | failed | 0.02799 seconds |
./spec/features/signing_up_in_out/sign_in_out_spec.rb[1:1:4] | failed | 0.02258 seconds |
./spec/features/signing_up_in_out/sign_in_out_spec.rb[1:1:5] | failed | 0.02502 seconds |
./spec/features/signing_up_in_out/sign_in_out_spec.rb[1:2:1] | failed | 0.02897 seconds |
./spec/features/signing_up_in_out/sign_up_spec.rb[1:1]       | failed | 0.02402 seconds |
./spec/features/signing_up_in_out/sign_up_spec.rb[1:2]       | failed | 0.03151 seconds |
./spec/models/article_spec.rb[1:1:1]                         | passed | 0.01122 seconds |
./spec/models/article_spec.rb[1:1:2]                         | failed | 0.00413 seconds |
./spec/models/article_spec.rb[1:2:1]                         | passed | 0.01131 seconds |
./spec/models/user_spec.rb[1:1]                              | passed | 0.00583 seconds |
./spec/models/user_spec.rb[1:2:1]                            | failed | 0.01396 seconds |
./spec/models/user_spec.rb[1:2:2]                            | passed | 0.00723 seconds |
./spec/models/user_spec.rb[1:2:3]                            | passed | 0.00857 seconds |
./spec/models/user_spec.rb[1:2:4]                            | failed | 0.01593 seconds |
./spec/models/user_spec.rb[1:3:1]                            | passed | 0.00556 seconds |
